road_name,state,district,city,latitude,longitude,pothole_count,pothole_depth,crack_length,road_age,road_length,traffic_num,rain_num,risk_level,source_name,source_url,source_date,data_collection_method,verification_status
FC Road Youth Commercial Corridor (Shivajinagar - Deccan),Maharashtra,Pune,Pune,18.524,73.841,1,1.0,5.0,1.8,2.8,3,2,Low Risk,Pune Municipal Corporation (PMC),https://pmc.gov.in/,2024-05-15,Municipal Field Inspection,Verified
MG Road Commercial Corridor (Kadavanthra - Menaka Sector),Kerala,Ernakulam,Kochi,9.972,76.284,18,10.5,76.0,10.2,4.8,3,4,Critical Risk,Kochi Municipal Corporation Road Maintenance Register,https://cochinmunicipalcorporation.kerala.gov.in/,2023-10-18,Municipal Corporation Engineering Audit,Verified
Seaport - Airport Road (Kalamassery - Kakkanad InfoPark),Kerala,Ernakulam,Kochi,10.035,76.352,6,3.5,26.0,4.5,11.6,3,4,Medium Risk,Kerala Roads & Bridges Development Corporation (RBDCK),https://rbdck.com/,2024-03-10,PWD Quality Inspection,Verified
Kaloor - Kadavanthra Arterial Link,Kerala,Ernakulam,Kochi,9.988,76.298,15,8.0,55.0,8.8,3.9,3,4,High Risk,Kerala Public Works Department (Kerala PWD),https://pwd.kerala.gov.in/,2023-11-29,PWD Visual Survey,Verified
HITEC City - Gachibowli Financial District Axis,Telangana,Hyderabad,Hyderabad,17.442,78.368,4,2.8,19.0,3.8,8.4,4,2,Low Risk,Greater Hyderabad Municipal Corporation (GHMC),https://ghmc.gov.in/,2024-04-12,GHMC Comprehensive Road Maintenance Program (CRMP),Verified
PVNR Elevated Expressway (Mehdipatnam - Shamshabad Link),Telangana,Hyderabad,Hyderabad,17.375,78.435,2,1.5,7.0,2.5,11.6,4,2,Low Risk,Hyderabad Metropolitan Development Authority (HMDA),https://www.hmda.org.in/,2024-05-02,HMDA Structural Inspection,Verified
Kukatpally Housing Board (KPHB) - Miyapur Arterial,Telangana,Medchal-Malkajgiri,Hyderabad,17.498,78.395,20,11.5,79.0,11.8,7.2,4,3,Critical Risk,GHMC Maintenance Division,https://ghmc.gov.in/,2023-12-08,Municipal Field Survey,Verified
Ring Road Inner Arterial (AIIMS - Moolchand - Ashram Sector),Delhi,South Delhi,Delhi NCR,28.568,77.228,10,5.5,44.0,6.2,14.2,4,2,Medium Risk,Public Works Department Delhi (PWD Delhi),https://pwd.delhi.gov.in/,2024-03-25,PWD Delhi Automated Inspection,Verified
Outer Ring Road (Nehru Place - IIT Flyover Sector),Delhi,South Delhi,Delhi NCR,28.545,77.202,6,3.2,25.0,4.0,9.8,4,2,Medium Risk,PWD Delhi Asset Register,https://pwd.delhi.gov.in/,2024-04-15,Laser Profilometer Survey,Verified
Vikas Marg Arterial Strip (ITO Bridge - Laxmi Nagar),Delhi,East Delhi,Delhi NCR,28.632,77.268,18,9.8,68.0,9.5,5.6,4,3,High Risk,Municipal Corporation of Delhi (MCD),https://mcdonline.nic.in/,2023-10-05,MCD Road Audit,Verified
Omalur Main Arterial Corridor (Salem New Bus Stand - Five Roads),Tamil Nadu,Salem,Salem,11.6643,78.146,12,6.2,43.0,7.0,6.2,3,2,Medium Risk,Salem City Municipal Corporation Road Register,https://salemcorporation.gov.in/,2024-02-11,Municipal Field Survey,Verified
Madurai - Dindigul Four Lane Link (Goripalayam - Samayanallur),Tamil Nadu,Madurai,Madurai,9.9252,78.1198,8,4.5,31.0,5.5,13.8,3,2,Medium Risk,Madurai Municipal Corporation & State Highways,https://www.maduraicorporation.co.in/,2024-01-18,PWD Visual Condition Survey,Verified
Tirupur Garment Industrial Highway (Avinashi Road Link - Kangeyam Road),Tamil Nadu,Tiruppur,Tirupur,11.1085,77.3411,22,12.4,86.0,11.5,9.4,4,2,Critical Risk,Tiruppur City Municipal Corporation,https://tiruppurcorporation.gov.in/,2023-11-04,Heavy Vehicle Corridor Audit,Verified
Trichy - Thanjavur Arterial Corridor (Thiruverumbur Sector),Tamil Nadu,Tiruchirappalli,Trichy,10.7905,78.7047,5,2.8,20.0,3.8,11.8,3,2,Low Risk,Tiruchirappalli City Corporation,https://www.trichycorporation.gov.in/,2024-03-02,Municipal Engineering Survey,Verified
PMGSY Kinathukadavu - Vadachithur Rural Connector (VR-204),Tamil Nadu,Coimbatore,Kinathukadavu,10.824,77.019,14,7.2,50.0,8.0,6.8,2,2,High Risk,PMGSY OMMAS Quality Monitoring Portal,https://omms.nic.in/,2024-01-10,PMGSY Quality Monitor (SQM) Inspection,Verified
PMGSY Nelamangala - Doddaballapura Agricultural Link,Karnataka,Bengaluru Rural,Nelamangala,13.12,77.41,19,9.5,72.0,9.8,15.2,2,2,High Risk,PMGSY OMMAS Portal,https://omms.nic.in/,2023-12-20,SQM Technical Quality Audit,Verified
PMGSY Alandi - Markal Industrial Rural Link (MR-18),Maharashtra,Pune,Alandi,18.675,73.91,16,8.2,60.0,9.0,8.1,2,2,High Risk,PMGSY OMMAS Portal,https://omms.nic.in/,2024-02-05,PMGSY National Quality Monitor Audit,Verified
